subject matter of this Agreement,1,anger,0.647172,neutral
due Consultant,1,anger,0.642703,neutral
mask work rights,1,joy,0.581974,positive
patent rights,1,joy,0.573373,positive
Consultant,34,joy,0.562795,positive
Proprietary Information,5,joy,0.559387,positive
s expense,1,anger,0.543871,positive
part of this Agreement,1,anger,0.542728,positive
material provision of this Agreement,1,joy,0.537702,neutral
trademark rights,1,joy,0.537549,positive
Company,20,joy,0.536564,positive
assist Company,1,anger,0.536294,positive
right of any person,1,anger,0.53377,positive
purposes of thisRelationship of the Parties,1,anger,0.533207,negative
andperfect such assignments,1,anger,0.533181,positive
computer files,2,joy,0.53152,positive
related injury,1,sadness,0.530921,negative
Rights,5,joy,0.529267,neutral
laws of the state of New York,1,anger,0.52842,positive
factto act,1,anger,0.527939,negative
independent contractor,2,sadness,0.526945,negative
intellectual property rights,2,anger,0.526635,positive
Services,10,joy,0.521526,positive
additional protection,1,joy,0.521313,neutral
time withoutnotice,1,joy,0.521152,positive
