tothis agreement,1,joy,0.768503,negative
SELLER-FRIENDLY VERSION,4,joy,0.752128,positive
SALE OF GOODS,5,joy,0.686914,positive
days of the date of the Seller,1,joy,0.613595,negative
Exhibit A,4,sadness,0.595805,negative
form of action,1,joy,0.56816,negative
legal action,2,anger,0.55805,negative
prices statedGoodsin Exhibit A.,1,anger,0.554784,positive
Buyer,12,joy,0.551688,negative
security interest inSecurity Interest,1,sadness,0.545102,negative
parties,4,joy,0.542137,positive
particular purpose,1,joy,0.541456,positive
laws of the State,1,joy,0.540131,neutral
s invoice,1,joy,0.539559,negative
laws of the StateSellerof,1,joy,0.538163,positive
Risk of Loss,1,sadness,0.53583,negative
court of the State,1,anger,0.534553,negative
agreement,15,joy,0.532508,negative
COM of 13CONTRACT,1,joy,0.531535,positive
fromSale of Goods,1,anger,0.528665,positive
date of theSeller,1,joy,0.527923,negative
s delivery of the Goods,1,joy,0.527423,negative
highest rate,1,sadness,0.527176,negative
State,1,joy,0.525177,positive
punitive damages,1,joy,0.524023,negative
parties arisingRecovery of Expenses,1,anger,0.523871,neutral
appellate courts,1,anger,0.523643,neutral
cause of action,1,joy,0.52181,negative
party,8,sadness,0.521106,negative
Due Diligence,1,sadness,0.52046,positive
exclusive jurisdiction of the courts of the State,1,anger,0.520029,neutral
Seller,16,joy,0.519751,negative
CONTRACT,4,joy,0.51927,positive
unforeseen circumstances,1,sadness,0.518455,negative
transaction,1,anger,0.518435,positive
Disclaimer of Warranty,1,sadness,0.517146,positive
risk of loss of the Goodswill pass,1,sadness,0.516559,negative
legal fees,1,anger,0.515559,positive
SALE OF GOODSThis contract,1,joy,0.514622,positive
prevailing party,1,anger,0.514213,neutral
Buyerthe warranties of merchantability,1,joy,0.513953,positive
s signature,2,sadness,0.513645,neutral
proceedings arisingout,1,anger,0.51327,neutral
date,6,sadness,0.512751,negative
subject matter of this agreement,1,joy,0.511219,positive
entire agreement,1,joy,0.510751,positive
Title,4,sadness,0.510677,negative
Buyer theopportunity,1,joy,0.510253,positive
warranties of quality,1,joy,0.50955,positive
transactions,6,joy,0.509221,negative
