FORM OF INDEPENDENT CONTRACTOR,2,anger,0.832031,positive
Independent Contractor Agreement,1,joy,0.737398,positive
Company requests Contractor,1,joy,0.667121,positive
behalf of others,1,sadness,0.653477,positive
definerespective rights,1,joy,0.576067,positive
Company,25,anger,0.566378,positive
such changes,1,joy,0.559941,positive
Consulting Services,3,joy,0.550984,positive
produce work product,1,joy,0.546968,positive
INDEPENDENT CONTRACTOR,1,anger,0.545213,positive
Contractor desire,1,joy,0.542218,positive
general scope of the Agreement consisting of additions,1,joy,0.53849,neutral
Copyright Act,1,joy,0.5364,neutral
information of aconfidential nature,1,joy,0.53423,positive
intellectual property rights,1,joy,0.531876,negative
parties' knowledge theperformance,1,joy,0.527024,positive
local taxes,1,disgust,0.526109,negative
Employee Benefitsretirement,1,sadness,0.525978,positive
moral rights,1,joy,0.525665,neutral
conditions of this Agreement,1,sadness,0.525462,positive
agreement,17,anger,0.525417,positive
such performance,1,joy,0.525196,positive
principal place,1,joy,0.525051,positive
disability benefits,1,disgust,0.524734,negative
services,7,joy,0.52151,positive
partial exercise ofany,1,joy,0.521332,negative
confidential information,1,joy,0.521083,negative
independent contractor of Company,1,disgust,0.521073,neutral
time forperformance,1,sadness,0.52104,positive
work,4,joy,0.520045,negative
COM of 26cost,1,joy,0.519913,positive
employees of Company,1,sadness,0.519592,positive
business days,1,anger,0.518904,positive
performance ofPaymentthe Work,1,anger,0.518821,positive
termination of this Agreement,1,joy,0.518468,positive
changes inChange,1,joy,0.518287,neutral
work product,5,joy,0.518125,neutral
agreements,1,joy,0.516953,positive
employee,1,sadness,0.516865,neutral
days uponPaymentreceipt of a request,1,disgust,0.516799,positive
Contractor,27,anger,0.516345,positive
notice of termination,1,joy,0.515832,neutral
payroll taxes,1,disgust,0.515812,negative
bodily injury,1,anger,0.51575,positive
foreign travel,1,anger,0.515626,positive
respective obligations,1,joy,0.515269,positive
Effective Date,1,joy,0.514951,negative
Intellectual Property,1,joy,0.514652,positive
court costs,1,sadness,0.514614,negative
COM of 16FORM OF INDEPENDENT CONTRACTOR AGREEMENTFORM OFINDEPENDENT CONTRACTOR AGREEMENTThis,1,joy,0.514524,positive
