such consent,1,joy,0.670534,positive
such overpayment,1,joy,0.579846,negative
Author,38,anger,0.568074,negative
Publisher,34,anger,0.567271,negative
Author of any claim,1,anger,0.556645,positive
COM of 15HAND,1,joy,0.55327,negative
such statements,2,sadness,0.552755,negative
publication date,1,joy,0.547279,neutral
non-exclusive right,1,joy,0.545789,positive
warranties of the Author,1,joy,0.543841,positive
English language,1,joy,0.536081,positive
benefit of creditors,1,joy,0.535389,negative
Monthly Book Box mailing,1,joy,0.534808,neutral
residence address,1,joy,0.534037,negative
own expense,1,joy,0.533218,neutral
consent of the Author,1,joy,0.533016,positive
civil rights,1,joy,0.531622,positive
book form,1,joy,0.53061,positive
COM of 25Publisher,1,joy,0.529995,neutral
digital format,1,joy,0.529738,neutral
PUBLICATIONThe Publisher,1,joy,0.52867,neutral
such legal action,1,anger,0.528155,negative
existence of this agreement,2,sadness,0.526801,negative
principal place of business,1,joy,0.525537,negative
monthly statements,1,joy,0.52395,negative
filing of such petition,1,anger,0.523834,negative
such payments,1,sadness,0.523791,negative
agreement,9,joy,0.523714,negative
email address booklovers@handpickedwords.com,1,joy,0.522233,negative
DELIVERYThe Author,1,joy,0.522072,neutral
overpayment of monies,1,joy,0.521143,negative
royalty of all profits,1,joy,0.520515,neutral
reasonable promptness,1,anger,0.520212,positive
ASSIGNMENTNo assignment of this contract,1,joy,0.519384,positive
such default,1,anger,0.51852,negative
WORDS,8,anger,0.518171,negative
damages therefor,1,sadness,0.517907,negative
HAND,6,anger,0.517498,negative
advance approval of any jacket,1,joy,0.517253,positive
months' notice,1,joy,0.517184,negative
cover design,1,joy,0.516277,positive
consideration of the mutual covenants,1,joy,0.516103,negative
representative discontinue publication,1,sadness,0.515995,negative
future royalties,1,joy,0.515919,neutral
STATEMENTS,1,joy,0.515501,negative
ARBITRATIONAny controversy,1,anger,0.513923,negative
bankruptcy,3,joy,0.513465,negative
notice,5,joy,0.513089,negative
own use,1,joy,0.512456,neutral
month period,1,joy,0.512388,negative
