CONTRACTOR h,1,joy,0.613821,positive
maximum amount,2,joy,0.603576,positive
United States,1,joy,0.588198,positive
NAME OF CONTRACTOR,2,disgust,0.567175,negative
certificate of vendor compliance,1,sadness,0.561589,negative
DOLLAR AMOUNT,2,joy,0.553656,positive
CONTRACTOR,26,anger,0.551988,positive
principal place of business,1,disgust,0.549659,negative
presentment of invoice,1,joy,0.545262,positive
satisfactory performance of the work,1,joy,0.54214,negative
constitutional convention,1,sadness,0.541977,negative
proper manner,1,anger,0.537372,negative
General Conditions,2,joy,0.537312,negative
OHA,16,joy,0.536555,positive
performance of the Agreement,1,joy,0.536319,positive
print name,1,anger,0.53541,negative
free act,1,disgust,0.534731,negative
PROJECT NAME,4,joy,0.534081,positive
Compensation provision set,1,anger,0.534061,positive
Notary signature,1,joy,0.531164,negative
award of the Agreement,1,joy,0.529714,positive
State of Haw,1,anger,0.529611,negative
Time of Performance,2,joy,0.529212,positive
PAYMENT SCHEDULE,2,sadness,0.527622,negative
Maximum length of Contract,1,sadness,0.52692,negative
conditions of native Hawaiians,1,joy,0.526248,negative
dates,1,joy,0.525652,positive
Code of Ethics,1,fear,0.525145,negative
lieu of the tax clearance certificate,1,joy,0.525009,negative
Notary Public,1,anger,0.524804,negative
responsive Offeror,1,joy,0.523777,positive
S5,1,sadness,0.523335,positive
Final Report,1,fear,0.522907,negative
mailing address,1,joy,0.522658,negative
review of the work,1,joy,0.522154,negative
Federal Tax ID,1,disgust,0.521229,negative
Special Conditions,3,joy,0.519878,positive
Agreement,8,joy,0.519809,positive
tax clearances,1,disgust,0.519693,positive
OHA employee,3,sadness,0.518463,positive
Compensation,7,anger,0.517991,positive
violation of any provision of chapter,1,joy,0.517886,positive
principal liaison,1,disgust,0.517351,positive
case of the Legislature,3,sadness,0.5171,positive
deed of the CONTRACTOR,1,disgust,0.515836,negative
state office,1,sadness,0.515384,positive
employees,1,sadness,0.515367,neutral
fee,6,joy,0.514514,positive
PAYMENT AMOUNT,4,sadness,0.513894,negative
DESCRIPTION OF PROJECT,4,joy,0.513798,positive
