"POWER OF ATTORNEY","None","None"
"STATUTORY POWER OF ATTORNEY","None","None"
"I ____________________ appoint ____________________ as my agent (attorney-in-fact) to act for me in any lawful way with respect to the following initialed subjects:","None","None"
"[Option 1 TO GRANT ALL OF THE FOLLOWING POWERS, INITIAL THE LINE IN FRONT OF (N) AND IGNORE THE LINES IN FRONT OF THE OTHER POWERS.]","None","None"
"[Option 2 TO GRANT ONE OR MORE, BUT FEWER THAN ALL, OF THE FOLLOWING POWERS, INITIAL THE LINE IN FRONT OF EACH POWER YOU ARE GRANTING.]","None","None"
"[Option 3 TO WITHHOLD A POWER, DO NOT INITIAL THE LINE IN FRONT OF IT.YOU MAY, BUT NEED NOT, CROSS OUT EACH POWER WITHHELD.]","None","None"
"INITIAL:","None","None"
"_______","None","None"
"(A) Real property transactions.","None","None"
"_______","None","None"
"(B) Tangible personal property transactions.","None","None"
"_______","None","None"
"(C) Stock and bond transactions.","None","None"
"_______","None","None"
"(D) Commodity and option transactions.","None","None"
"_______","None","None"
"(E) Banking and other financial institution transactions.","None","None"
"_______","None","None"
"(F) Business operating transactions.","None","None"
"_______","None","None"
"(G) Insurance and annuity transactions.","None","None"
"_______","None","None"
"(H) Estate, trust, and other beneficiary transactions.","None","None"
"_______","None","None"
"(I) Claims and litigation.","None","None"
"_______ (J) Personal and family maintenance.","None","None"
"_______ (K) Benefits from social security, medicare, medicaid, or other governmental programs, or military service.","None","None"
"_______","None","None"
"(L) Retirement plan transactions.","None","None"
"_______","None","None"
"(M) Tax matters.","None","None"
"_______","None","None"
"(N) ALL OF THE POWERS LISTED ABOVE.","None","None"
"YOU NEED NOTINITIAL ANY OTHER LINES IF YOU INITIAL LINE","None","None"
"(N).","None","None"
"SPECIAL INSTRUCTIONS:","None","None"
"____________________","None","None"
"UNLESS YOU DIRECT OTHERWISE ABOVE, THIS POWER OF ATTORNEY IS EFFECTIVE IMMEDIATELY AND WILL CONTINUE UNTIL IT IS REVOKED.","None","None"
"This power of attorney will continue to be effective even though I become disabled, incapacitated, or incompetent.","None","None"
"[STRIKE THE PRECEDING SENTENCE IF YOU DO NOT WANT THIS POWER OF ATTORNEY TO CONTINUE IF YOU BECOME DISABLED, INCAPACITATED, OR INCOMPETENT.]","None","None"
"I agree that any third party who receives a copy of this document may act under it.","None","None"
"Revocation of the power of attorney is not effective as to a third party until the third party learns of the revocation.","None","None"
"I agree to indemnify the third party for any claims that arise against the third party because of reliance on this power of attorney.","None","Indemnification"
"Signed ____________________","None","None"
"_________________________ ____________________","None","None"
"_________________ ____________________ State of ____________________ (County) of ____________________ This document was acknowledged before me on ____________________ by ____________________","None","None"
"_______________________________ ____________________","None","None"
"____________________","None","None"
"____________________","None","None"
"[My commission expires: ____________________","None","None"
"BY ACCEPTING OR ACTING UNDER THE APPOINTMENT, THE AGENT ASSUMES THE FIDUCIARY AND OTHER LEGAL RESPONSIBILITIES OF AN AGENT.","Obligation-Agent","None"
