"RENTAL AGREEMENT - PLAIN LANGUAGE LEASE","None","None"
"RENTAL AGREEMENT","None","None"
"1) PARTIES:","None","None"
"This agreement is entered into on this date _______________________ between the following parties RESIDENT(S):","None","None"
"and ____________________________________________________________________ MANAGER: _______________.","None","None"
"Resident agrees to rent from the owner of the premises at thefollowing location subject to the terms and conditions of this agreement.","Obligation-Resident","None"
"2) SUBJECT PROPERTY:","None","None"
"3.) STARTING / ENDING DATES OF LEASE","None","None"
"a) This lease begins on________________________.","None","None"
"This lease ends on________________________.","None","None"
"b) To end this lease Landlord or Tenant must give 60 days notice before the ending date or any renewal period.","None","Communication"
"c) This lease automatically renews on a month-to-month basis if not ended or changed by either party with a rent increase of 3 percent.","None","None"
"4) MOVE-IN COSTS AMOUNT CHARGE / DESCRIPTION","None","None"
"Rent $ Monthly or Bi-Weekly Rent (circle one) Additional Rent $ Pet Rent","None","None"
"Security Deposit $ Refundable deposit per agreement Key Deposit $ Refundable deposit per agreement Additional Deposit $ See attached Pet addendum Other $","None","None"
"Total Due $","None","None"
"Total rent due for entire length of lease $","None","None"
"5) ADDRESS TO SEND RENT PAYMENTS:","None","None"
"_____________________________________.","None","None"
"Rent will be only collected by mail.","None","None"
"Hand-delivered mail will never be accepted.","None","None"
"Payments only in the forms of checks or money order","None","Payment Terms & Billing"
"(if mailed) will be made to "___________________."","None","None"
"6) TRADITIONAL DELIVERY OF PAYMENTS:","None","None"
"Please be advised that any payments lost in the mail will be treated as if unpaid until received by management.","None","Communication"
"Please be advised that any payments lost in the mail will be treated as if unpaid until received by management.","None","Payment Terms & Billing"
"If a check is returned unpaid for whatever reason, checks will no longer be accepted for at least six months.","None","None"
"Resident will be required to pay by certified funds only.","Obligation-Resident","Payment Terms & Billing"
"To avoid potential problems, we suggest one of the worry free payment methods.","None","None"
"7) PAYDAY RENT PAYMENT OPTION:","None","None"
"Resident has the option to pay rent monthly, (the old fashioned way), rent of $______ payable in advance on or before the fifteenth day of each month.","Right-Resident","None"
"Or, if resident prefers and considers it more convenient, resident may pay rent biweekly (every two weeks to coincide with paychecks) rent of $______ payable in advance on or before Friday of every other week.","None","None"
"Resident chooses to the Old-Fashioned plan or the Payday Plan (circle one).","None","None"
"8) STANDARD WORRY-FREE PAYMENT METHODS:","None","None"
"Residents may select one of the following Standard "Worry-Free" payment methods for paying rent during the rental term, so they don't have to worry about late charges every month.","Right-Residents","None"
"Residents agree by signing this agreement to give permission and authorization to arrange for rent collection by method selected and debit appropriate account(s).","Obligation-Residents","None"
"Preferred Method Of Payment Selected:","None","None"
"___ Electronic debit from checking account on following days/dates each month __________________","None","None"
"___ Electronic debit from savings account on following days/dates each month___________________","None","None"
"___ Debit Card or Credit Card debit from following account:__________________________________","None","None"
"___ Payroll deduction sent directly from employer biweekly or monthly.","None","None"
"9) EARLY PAYMENT REBATE:","None","None"
"The rent due date is the 15th of each month.","None","None"
"The normal rent rate is $______.","None","None"
"Rent paid early, which is received at least 5 days BEFORE the due date, the resident will be entitled to a $______ rebate mailed back to the resident within 10 days after payment is received.","None","Payment Terms & Billing"
"Please note, that if a resident is participating in one of the worry-free payment methods and payments are automatically debited early (specified number of days prior to the due date), then the rebate amount is automatically reduced from the total debited.","None","None"
"10) LATE PAYMENT AND ADDITIONAL RENT CHARGES:","None","None"
"• The rental amount each month is $______ and is due by the 15th day of each month.","None","Payment Terms & Billing"
"• Landlord will send a Notice to Pay Rent or Move if Landlord does not receive rent by the
20th day of the month.","Obligation-Landlord","Communication"
"• A court action to remove tenant begins on the 25th day.","None","None"
"All court costs are paid by Tenant.","None","Payment Terms & Billing"
"• If Tenant mails rent to Landlord, the postmark date of the letter is the date of payment.","None","None"
"• Rent is considered late if postmarked after the 19th day of each month.","None","None"
"Rent is $_____ more if not paid by the due date.","None","None"
"• Rent is an additional $_____ if not paid by the 21st.","None","None"
"• Charges not paid when due become additional rent for the next month's rent.","None","None"
"• Any dishonored check shall be treated as unpaid rent, and be subject to a handling fee of $30 and must be made good by cash, money order, or certified check within 24 hours of notification.","None","Communication"
"• Any dishonored check shall be treated as unpaid rent, and be subject to a handling fee of $30 and must be made good by cash, money order, or certified check within 24 hours of notification.","None","Pricing & Taxes"
"In the event of a dishonored check, subsequent payments must be made in certified funds (not cash) until the end of the term of the lease.","None","Payment Terms & Billing"
"11) ORDER IN WHICH RENT PAYMENT IS APPLIED:","None","None"
"Landlord applies rent received to money due from the past in the following order:","None","None"
"1. Additional Rent Charges 4.","None","None"
"Other Fees Not Paid 7.","None","None"
"Damages to Leased Property","None","None"
"2. Tenant Owed Utility Bills 5.","None","None"
"Past Rent","None","None"
"3. Legal and Court Costs 6.","None","None"
"Current Rent","None","None"
"12) CERTIFICATE OF REGISTRATION:","None","None"
"Landlord will provide Tenant a copy of Landlord's Certificate of Registration at the execution of this Lease or commencement of the term.","Obligation-Landlord","Audits"
"If Landlord files an amended certificate during the term of this Lease, Landlord shall furnish Tenant with a copy of the amended certificate within seven (7) days after the amended certificate is filed with the municipal clerk, or with such other municipal official as is designated by the clerk.","Obligation-Landlord","None"
"13) SECURITY DEPOSIT AND RETURN THEREOF:","None","None"
"Upon execution of this lease, Tenant will deposit with Landlord the sum of ______________________________________________ Dollars ($__________), the amount of which does not exceed 1 &frac12; months rent, which is to be held as collateral security and applied on any rent or any other charge that may remain due and owing at the expiration of this agreement, any extension thereof or holding over period or applied on any damages to the premises caused by the Tenant, his family, invitees, employees, trades people or pets, or other expenses suffered by Landlord as a result of a breach of any covenant of the Lease.","None","None"
"Landlord shall deposit Tenant's security deposit in a State or federally chartered bank, savings bank or savings and loan association in this State insured by an agency of the federal government in an interest bearing account.","Obligation-Agency","None"
"Landlord shall deposit Tenant's security deposit in a State or federally chartered bank, savings bank or savings and loan association in this State insured by an agency of the federal government in an interest bearing account.","Obligation-Landlord","None"
"Within thirty (30) days, Landlord shall notify Tenant of the name and address of the State or federally chartered bank, savings bank or savings and loan association in which the deposit is made, and the amount thereof.","Obligation-Landlord","Communication"
"Landlord shall be entitled to retain a sum equivalent to one percent","Right-Landlord","None"
"(1%) per annum or 12.5% of the aggregate interest yield on the security deposit, whichever is greater, less the amount of any service fee charged by the State or federally chartered bank, savings bank or savings and loan association.","None","None"
