Independent Contractor Agreement,1,joy,0.744006,positive
CONTRACTOR AGREEMENTThis,1,joy,0.682782,positive
Company requests Contractor,1,joy,0.670772,positive
behalf of others,1,sadness,0.638388,neutral
definerespective rights,1,joy,0.588533,positive
CONTRACTOR,34,anger,0.582774,positive
INDEPENDENT DEVELOPER,3,anger,0.568356,positive
Company,28,anger,0.568104,positive
such changes,1,joy,0.563194,positive
Contractor desire,1,joy,0.552896,positive
produce work product,1,joy,0.55181,positive
Copyright Act,1,joy,0.54797,positive
COM of 15INDEPENDENT DEVELOPER,1,joy,0.539409,positive
information of aconfidential nature,1,joy,0.538435,positive
intellectual property rights,1,joy,0.536585,neutral
general scope of the Agreement consisting of additions,1,joy,0.534566,neutral
business days,2,anger,0.531598,positive
performance ofPaymentthe Work,1,anger,0.530526,positive
local taxes,1,disgust,0.530495,negative
COM of 35agent,1,joy,0.529436,negative
parties' knowledge theperformance,1,disgust,0.529394,neutral
moral rights,1,joy,0.52914,neutral
Employee Benefitsretirement,1,sadness,0.528858,positive
such performance,1,joy,0.528691,positive
additional work,1,joy,0.528004,positive
principal place,1,joy,0.526921,positive
work,5,joy,0.526843,positive
disability benefits,1,disgust,0.526235,negative
agreement,17,joy,0.524707,positive
partial exercise ofany,1,joy,0.524106,negative
confidential information,1,joy,0.522846,negative
services,10,joy,0.521371,positive
termination of this Agreement,1,joy,0.519555,neutral
definition of Section,1,joy,0.51938,positive
employees of Company,1,sadness,0.51936,positive
work product,5,joy,0.519312,positive
applicable Fees,1,joy,0.518664,positive
Intellectual Property,1,joy,0.518348,positive
employee,1,anger,0.518164,negative
payroll taxes,1,disgust,0.518035,negative
Term of this Agreement,2,joy,0.51799,positive
definition of the Copyright Act,1,joy,0.517626,positive
respective obligations,1,disgust,0.517617,neutral
Project fee,1,joy,0.517429,positive
court costs,1,anger,0.516659,negative
agreements,1,joy,0.516479,positive
independent contractor of Company,1,disgust,0.516184,negative
Contractor's failure,1,anger,0.513902,negative
foreign travel,1,anger,0.513613,positive
respectNo Waiver of Rightsof,1,joy,0.513323,negative
