AGREEMENTTHIS AGREEMENT,1,joy,0.676562,positive
Additional User Fee,3,anger,0.620064,positive
time of installation,1,anger,0.612388,neutral
term of this Agreement,2,joy,0.589443,neutral
____________________€days,1,joy,0.584677,positive
serial numbers of the additional PCs,1,joy,0.578948,positive
COM of 18SOFTWARE,1,joy,0.577483,positive
Licensor's Software,1,joy,0.575589,positive
such Software,2,joy,0.563762,positive
PC LAN,1,joy,0.56244,positive
Licensee,31,anger,0.558657,positive
valid rights of any third party,1,joy,0.557753,positive
Licensee's PC-LAN system,1,sadness,0.553296,neutral
Licensor,24,anger,0.552131,positive
TERMThis Agreement,1,joy,0.549813,positive
Installation Fee,2,joy,0.548985,negative
User Fee,6,anger,0.547574,positive
anythird party,1,joy,0.546518,positive
AGREEMENTCOMPUTER SOFTWARE,1,joy,0.543458,positive
termination of this Agreement,3,joy,0.540651,positive
SOFTWARE,23,anger,0.536728,negative
use of the Software atLicensee,1,anger,0.535104,neutral
____________________€years,1,joy,0.533298,positive
Schedule A,2,anger,0.531841,positive
Licensee'sLAN,1,sadness,0.530698,positive
federal courts,1,anger,0.530173,neutral
provisions of this clause,1,joy,0.529472,neutral
serial numbers,1,anger,0.528713,neutral
WARRANTIES A. Licensor,1,joy,0.528411,neutral
additional installations,1,sadness,0.528004,neutral
Licensor ofsuch fact,1,joy,0.52728,positive
parties,5,anger,0.525695,positive
personal computers,1,anger,0.525313,neutral
B. Licensee,1,joy,0.524599,negative
COMPENSATION A.,1,sadness,0.523821,positive
related products,1,joy,0.523804,positive
Fee Payment Schedule,1,sadness,0.523008,positive
OPERATION OF LAW,2,anger,0.521937,negative
Schedule A. Inthe event,1,sadness,0.521793,neutral
such additional computers,1,sadness,0.52139,neutral
reasonable period,1,sadness,0.521125,negative
Additional Installation Fee,1,sadness,0.519907,neutral
____________________€employees of Licensee,1,anger,0.518492,neutral
license,2,anger,0.518355,negative
such additional installation,1,sadness,0.518314,positive
prior express,1,joy,0.518196,positive
breach of this Agreement,1,joy,0.517736,positive
additional personal computers,1,sadness,0.516838,neutral
PARTICULAR PURPOSE,1,anger,0.516546,positive
video game,1,joy,0.515614,positive
